Country.Code,GDP.per.capita.2017,Under.5.Mortality.Rate.2017,,
ABW,"25,655.10202",NA,,
AFG,550.0684588,67.9,,
AGO,"4,100.289786",81.1,,
ALB,"4,537.579056",8.8,,
AND,"39,146.54884",3.3,,
ARB,"6,239.713933",36.66120181,,
ARE,"40,698.84934",9.1,,
ARG,"14,398.35877",10.4,,
ARM,"3,936.79832",12.6,,
ASM,"11,394.4753",NA,,
ATG,"14,803.01093",7.4,,
AUS,"53,799.93809",3.5,,
AUT,"47,290.91165",3.6,,
AZE,"4,131.61831",23,,
BDI,292.0052103,61.2,,
BEL,"43,323.80734",3.8,,
BEN,827.3936794,98.3,,
BFA,642.0371483,81.2,,
BGD,"1,516.51327",32.4,,
BGR,"8,227.960406",7.5,,
BHR,"23,655.0356",7.3,,
BHS,"30,762.01244",7.2,,
BIH,"5,148.208517",5.7,,
BLR,"5,727.511718",3.7,,
BLZ,"4,971.201636",14.2,,
BOL,"3,393.955818",34.9,,
BRA,"9,821.407686",14.8,,
BRB,"16,356.98011",12.4,,
BRN,"28,290.5852",10.5,,
BTN,"3,130.233543",30.8,,
BWA,"7,595.611141",37.6,,
CAF,418.411287,121.5,,
CAN,"45,032.11991",5.1,,
CEB,"14,159.23242",5.253083595,,
CHE,"80,189.69686",4.2,,
CHL,"15,346.4497",7.4,,
CHN,"8,826.994096",9.3,,
CIV,"1,537.504031",88.8,,
CMR,"1,451.865747",84,,
COD,462.7795441,91.1,,
COG,"1,654.010322",47.5,,
COL,"6,408.920012",14.7,,
COM,"1,312.333925",69,,
CPV,"3,244.409561",17.4,,
CRI,"11,677.26904",9,,
CSS,"9,448.224139",18.89113422,,
CUB,"8,433.092699",5.4,,
CYP,"25,233.57098",2.7,,
CZE,"20,368.13856",3.3,,
DEU,"44,469.90906",3.7,,
DJI,"1,927.589706",61.7,,
DMA,"6,719.337166",34,,
DNK,"56,307.5083",4.3,,
DOM,"7,052.258839",29.9,,
DZA,"4,055.247211",24,,
EAP,"7,126.385077",16.62576695,,
EAR,"3,513.220852",37.41085026,,
EAS,"10,368.48391",15.8,,
ECA,"7,947.079776",13.13674943,,
ECS,"23,422.19437",9,,
ECU,"6,273.488892",14.5,,
EGY,"2,412.727082",22.1,,
EMU,"36,870.17553",3.750166947,,
ERI,NA,43.1,,
ESP,"28,156.81584",3.1,,
EST,"19,704.65504",2.7,,
ETH,767.5634778,58.5,,
EUU,"33,723.2706",4.096864516,,
FCS,"1,608.798658",72.86363547,,
FIN,"45,703.32787",2.3,,
FJI,"5,589.388833",25.3,,
FRA,"38,476.65864",4.2,,
FSM,"3,187.556848",32.2,,
GAB,"7,413.795207",48.3,,
GBR,"39,720.44343",4.3,,
GEO,"4,057.286081",10.8,,
GHA,"2,046.109986",49.3,,
GIN,823.4937155,85.7,,
GMB,709.077158,63.6,,
GNB,723.6094119,84.2,,
GNQ,"9,697.630234",89.6,,
GRC,"18,613.42387",5.3,,
GRD,"10,451.02988",16.7,,
GTM,"4,470.989572",27.6,,
GUM,"35,675.79417",NA,,
GUY,"4,655.144448",31.3,,
HIC,"41,214.28084",5.4,,
HKG,"46,193.61452",NA,,
HND,"2,480.125929",18.2,,
HPC,970.6319121,70.88979283,,
